timestamp,experiment,model,dataset_config,split,max_samples,shuffle_seed,chunk_source,prompt_template,similarity_threshold,embedding_layers,embedding_hook,max_cached_blocks,cache_dir,index_encoder,index_encoder_device,temperature,max_tokens,trust_remote_code,notes,tensor_parallel_size,gpu_memory_utilization,enable_fusion_cache,fusion_cache_dir,enable_semantic_text_cache,enable_exact_text_cache,preset,total_prompts,cache_hits,cache_hit_rate,avg_latency,avg_latency_hit,avg_latency_miss,answer_accuracy,wall_time,hit_breakdown
2025-12-11T03:44:45.024089,video_frames_cached,Qwen/Qwen3-VL-2B-Instruct,val_balanced_instructions,val,64,7,question,You are assisting with the GQA benchmark. Answer the question based on the referenced image.\nImage ID: {image_id}\nQuestion: {question}\nAnswer:,0.8,"vision:512:0.85,prompt:384:0.8",prompt_vision,,/workspace/experiment2/kv_chunks,sentence-transformers/all-MiniLM-L6-v2,cuda,0.0,64,True,,1,0.9,False,/workspace/experiment2/fusion_chunks,True,True,,64,64,1.0,0.36304264777572826,0.36304264777572826,,0.0,37.46260926127434,"{""text:exact"": 64}"
2025-12-11T04:48:20.702831,video_frames_cached,Qwen/Qwen3-VL-2B-Instruct,val_balanced_instructions,val,64,7,question,You are assisting with the GQA benchmark. Answer the question based on the referenced image.\nImage ID: {image_id}\nQuestion: {question}\nAnswer:,0.8,"vision:512:0.85,prompt:384:0.8",prompt_vision,,/workspace/experiment2/kv_chunks,sentence-transformers/all-MiniLM-L6-v2,cuda,0.0,64,True,,1,0.9,False,/workspace/experiment2/fusion_chunks,True,True,,64,64,1.0,0.35148107790155336,0.35148107790155336,,0.5,37.678796000778675,"{""text:exact"": 64}"
2025-12-11T05:30:34.289645,video_frames_cached_8b,Qwen/Qwen3-VL-8B-Instruct,val_balanced_instructions,val,64,7,question,You are assisting with the GQA benchmark. Answer the question based on the referenced image.\nImage ID: {image_id}\nQuestion: {question}\nAnswer:,0.8,"vision:512:0.85,prompt:384:0.8",prompt_vision,,/workspace/experiment2/kv_chunks,sentence-transformers/all-MiniLM-L6-v2,cuda,0.0,64,True,,1,0.9,False,/workspace/experiment2/fusion_chunks,True,True,,64,64,1.0,0.9059347203583457,0.9059347203583457,,0.75,71.96179617196321,"{""text:exact"": 64}"
2025-12-11T05:46:44.694862,video_frames_baseline_8b,Qwen/Qwen3-VL-8B-Instruct,val_balanced_instructions,val,64,7,question,You are assisting with the GQA benchmark. Answer the question based on the referenced image.\nImage ID: {image_id}\nQuestion: {question}\nAnswer:,0.8,,none,,/workspace/experiment2/kv_chunks,sentence-transformers/all-MiniLM-L6-v2,cuda,0.0,64,True,,1,0.9,False,/workspace/experiment2/fusion_chunks,False,False,,64,0,0.0,0.9753903289092705,,0.9753903289092705,0.75,62.47451354935765,{}
2025-12-11T05:49:03.278322,video_frames_cached_8b,Qwen/Qwen3-VL-8B-Instruct,val_balanced_instructions,val,64,7,question,You are assisting with the GQA benchmark. Answer the question based on the referenced image.\nImage ID: {image_id}\nQuestion: {question}\nAnswer:,0.8,"vision:512:0.85,prompt:384:0.8",prompt_vision,,/workspace/experiment2/kv_chunks,sentence-transformers/all-MiniLM-L6-v2,cuda,0.0,64,True,,1,0.9,False,/workspace/experiment2/fusion_chunks,True,True,,64,63,0.984375,0.9228138282778673,0.9086687391002973,1.813954446464777,0.75,74.44880961626768,"{""embedding:vision"": 53, ""text:exact"": 10}"
2025-12-11T06:10:44.314696,qwen3vl-2b_baseline,Qwen/Qwen3-VL-2B-Instruct,val_balanced_instructions,val,64,7,question,You are assisting with the GQA benchmark. Answer the question based on the referenced image.\nImage ID: {image_id}\nQuestion: {question}\nAnswer:,0.8,,none,,/workspace/experiment2/kv_chunks,sentence-transformers/all-MiniLM-L6-v2,cuda,0.0,64,True,,1,0.9,False,/workspace/experiment2/fusion_chunks,False,False,,64,0,0.0,0.39693137945141643,,0.39693137945141643,0.5,25.458216328173876,{}
2025-12-11T06:12:15.614387,qwen3vl-2b_conservative,Qwen/Qwen3-VL-2B-Instruct,val_balanced_instructions,val,64,7,question,You are assisting with the GQA benchmark. Answer the question based on the referenced image.\nImage ID: {image_id}\nQuestion: {question}\nAnswer:,0.82,"vision:512:0.85,prompt:384:0.82",prompt_vision,,/workspace/experiment2/kv_chunks,sentence-transformers/all-MiniLM-L6-v2,cuda,0.0,64,True,,1,0.9,False,/workspace/experiment2/fusion_chunks,True,True,,64,63,0.984375,0.365557219076436,0.3586153328300469,0.8028960525989532,0.5,37.90503007918596,"{""embedding:vision"": 53, ""text:exact"": 10}"
2025-12-11T06:13:43.412674,qwen3vl-2b_moderate,Qwen/Qwen3-VL-2B-Instruct,val_balanced_instructions,val,64,7,question,You are assisting with the GQA benchmark. Answer the question based on the referenced image.\nImage ID: {image_id}\nQuestion: {question}\nAnswer:,0.8,"vision:512:0.82,prompt:384:0.80",prompt_vision,,/workspace/experiment2/kv_chunks,sentence-transformers/all-MiniLM-L6-v2,cuda,0.0,64,True,,1,0.9,False,/workspace/experiment2/fusion_chunks,True,True,,64,63,0.984375,0.3708752708043903,0.3690587260302097,0.4853175915777683,0.5,35.16354664415121,"{""text:exact"": 58, ""embedding:vision"": 5}"
2025-12-11T06:15:12.218046,qwen3vl-2b_aggressive,Qwen/Qwen3-VL-2B-Instruct,val_balanced_instructions,val,64,7,question,You are assisting with the GQA benchmark. Answer the question based on the referenced image.\nImage ID: {image_id}\nQuestion: {question}\nAnswer:,0.78,"vision:512:0.80,prompt:384:0.78",prompt_vision,,/workspace/experiment2/kv_chunks,sentence-transformers/all-MiniLM-L6-v2,cuda,0.0,64,True,,1,0.9,False,/workspace/experiment2/fusion_chunks,True,True,,64,63,0.984375,0.34305171243613586,0.3440777972813637,0.27840836718678474,0.5,35.42182257026434,"{""text:exact"": 63}"
2025-12-11T06:17:15.774665,qwen3vl-4b_baseline,Qwen/Qwen3-VL-4B-Instruct,val_balanced_instructions,val,64,7,question,You are assisting with the GQA benchmark. Answer the question based on the referenced image.\nImage ID: {image_id}\nQuestion: {question}\nAnswer:,0.8,,none,,/workspace/experiment2/kv_chunks,sentence-transformers/all-MiniLM-L6-v2,cuda,0.0,64,True,,1,0.9,False,/workspace/experiment2/fusion_chunks,False,False,,64,0,0.0,0.34310099680442363,,0.34310099680442363,0.828125,22.018403593450785,{}
